call_id,ticker,date,split,horizon,y_true,y_pred,y_persistence
EA_2020_Q2_20191029,EA,2019-10-29,train,30,-4.485963404568456,,-4.377352216352299
EA_2020_Q3_20200130,EA,2020-01-30,train,30,-3.5875235778159005,,-4.822753778802112
EA_2020_Q4_20200505,EA,2020-05-05,val,30,-4.031232487650547,,-3.492697289902296
EA_2021_Q1_20200730,EA,2020-07-30,train,30,-3.914280030537949,,-4.293394801348733
EA_2021_Q2_20201105,EA,2020-11-05,val,30,-3.957700878735012,,-4.042904551374527
EA_2021_Q3_20210202,EA,2021-02-02,train,30,-3.963944941893534,,-4.156667555061566
EA_2021_Q4_20210511,EA,2021-05-11,train,30,-4.5372945876834265,,-4.376862353012735
EA_2022_Q1_20210804,EA,2021-08-04,train,30,-4.272429748330818,,-4.424938680692633
EA_2022_Q2_20211103,EA,2021-11-03,val,30,-4.003431563409273,,-3.9989629877121
ECL_2018_Q4_20190219,ECL,2019-02-19,train,30,-4.958526075983059,,-4.722370303524233
ECL_2019_Q1_20190430,ECL,2019-04-30,train,30,-4.615751777976601,,-4.948540801647323
ECL_2019_Q2_20190730,ECL,2019-07-30,train,30,-4.207332425437111,,-4.328430475134436
ECL_2019_Q3_20191029,ECL,2019-10-29,train,30,-4.695469275856818,,-4.706513709983973
ECL_2019_Q4_20200218,ECL,2020-02-18,train,30,-2.711607525785932,,-4.715118557000551
ECL_2020_Q1_20200428,ECL,2020-04-28,val,30,-3.95028074639364,,-2.751891924670978
ECL_2020_Q2_20200728,ECL,2020-07-28,train,30,-3.8309500499349913,,-4.248018104518127
ECL_2020_Q3_20201027,ECL,2020-10-27,train,30,-3.701402021075389,,-4.378867101101696
